dataset,round_digits,depth,n_train,n_test,n_features,n_equalities,config,time_sec,gap_pct,objective,lp_value,nodes_bb,err_train,err_test
iris,none,2,120,30,4,0,sans_egalites,1.289,0.0,115.0,120.0,1181,5,1
iris,none,2,120,30,4,285,avec_egalites,0.9498,0.0,115.0,120.0,1070,5,1
iris,none,3,120,30,4,0,sans_egalites,8.818,0.0,120.0,120.0,7261,0,4
iris,none,3,120,30,4,285,avec_egalites,6.9983,0.0,120.0,120.0,4928,0,4
seeds,none,2,168,42,6,0,sans_egalites,11.6338,0.0,158.0,168.0,30808,10,2
seeds,none,2,168,42,6,0,avec_egalites,11.6104,0.0,158.0,168.0,30808,10,2
seeds,none,3,168,42,6,0,sans_egalites,300.0219,1.8182,165.0,168.0,187689,3,3
seeds,none,3,168,42,6,0,avec_egalites,300.0264,1.8182,165.0,168.0,189920,3,3
wine,none,2,142,36,13,0,sans_egalites,12.1355,0.0,136.99999999999937,142.0,23283,5,2
wine,none,2,142,36,13,0,avec_egalites,12.2367,0.0,136.99999999999937,142.0,23283,5,2
wine,none,3,142,36,13,0,sans_egalites,29.8162,0.0,142.0,142.0,15511,0,1
wine,none,3,142,36,13,0,avec_egalites,30.061,0.0,142.0,142.0,15511,0,1
glass,none,2,171,43,9,0,sans_egalites,263.607,0.0,115.0,152.0,843168,56,17
glass,none,2,171,43,9,11,avec_egalites,264.4377,0.0,114.99999999999899,152.0,818825,56,17
glass,none,3,171,43,9,0,sans_egalites,301.4366,24.8227,134.0,171.0,120566,37,16
glass,none,3,171,43,9,11,avec_egalites,301.1773,24.1589,135.0,171.0,165323,36,18
ecoli,none,2,217,55,7,0,sans_egalites,3.1013,0.0,210.0,217.0,2160,7,6
ecoli,none,2,217,55,7,0,avec_egalites,3.0329,0.0,210.0,217.0,2160,7,6
ecoli,none,3,217,55,7,0,sans_egalites,301.5757,1.4019,214.0,217.0,138735,3,4
ecoli,none,3,217,55,7,0,avec_egalites,301.7657,1.8779,213.0,217.0,134234,4,7
